"ID","é¿çHêî","ó\ë™çHêî","ó\ë™ÉtÉâÉO(écç∑ïΩï˚ïΩãœ)","ó\ë™ÉtÉâÉO(écç∑ï™éU)","ó\ë™ÉtÉâÉO(ëäëŒécç∑ï™éU)","ó\ë™ÉtÉâÉO(écç∑ïœìÆåWêî)"
1,2040,1427.46772265428,0,0,0,0
2,1600,1480.85333980471,0,0,1,1
3,243,307.782861488567,0,0,0,0
4,240,460.969591277923,0,0,0,0
5,33,24.0835247049172,1,1,1,1
6,43,20.5513304706315,1,1,1,0
7,8,6.53880213875283,1,1,1,0
8,1075,636.70345661835,0,0,0,0
9,423,256.690027246045,0,0,0,1
10,321,181.696555791691,0,0,0,1
11,218,231.641508672238,0,0,0,1
12,201,194.757575748358,0,0,0,1
13,79,89.1963324064518,0,0,0,1
14,60,63.0354137013766,1,1,1,1
15,61,139.372043161225,1,1,1,1
16,40,58.106921886909,1,1,1,0
17,9,35.9932654418816,1,1,1,0
18,11400,5482.9320272196,0,0,0,0
19,6600,8739.38206144731,0,0,0,0
20,6400,10981.3223978927,0,0,0,0
21,2455,1115.59309928764,0,0,0,0
22,724,650.750704403462,0,0,0,0
23,539,499.458338202209,0,0,0,0
24,453,522.938351651636,0,0,0,0
25,523,308.799173934132,0,0,0,0
26,387,188.881007076815,0,0,0,0
27,88,63.0064624524314,1,1,1,1
28,98,167.080339468778,1,1,1,0
29,7.3,7.45787828538111,1,1,1,0
30,5.9,7.17254181418796,1,1,1,0
31,1063,829.258184032429,0,0,0,0
32,702,1361.06350379773,0,0,0,0
33,605,312.211075785199,0,0,0,0
34,230,219.365016664831,1,1,1,0
35,82,51.5139813370972,1,1,1,1
36,55,74.6343533671064,1,1,1,0
37,47,114.64989452678,0,0,0,0
38,12,36.0093664551595,1,1,1,1
39,8,5.16653782776899,1,1,1,0
40,8,16.6303225118398,1,1,1,1
41,6,4.27752126020842,1,1,1,1
42,45,96.2378160417498,0,0,0,0
43,83,87.8161529884892,0,0,0,0
44,87,111.164224672757,0,0,0,0
45,106,90.7447960048534,0,0,0,0
46,126,167.596272558251,0,0,0,0
47,36,20.0105948546432,1,1,1,1
48,1272,3891.79634036726,0,0,0,0
49,156,200.419919865551,0,0,0,0
50,176,173.783835886833,1,1,1,0
51,122,86.8683547112719,1,1,1,0
52,41,37.8507584647147,1,1,1,1
53,14,15.7405167293563,1,1,1,1
54,20,14.8449420045998,1,1,1,1
55,18,4.96939290518426,1,1,1,1
56,958,390.076931755967,0,0,0,0
57,237,504.136807452567,0,0,0,0
58,130,68.4579838665804,0,0,0,0
59,70,102.421672464319,1,1,1,1
60,57,58.6546353770064,1,1,1,1
61,50,39.0313392051376,0,0,0,1
62,38,67.2256261973429,1,1,1,1
63,15,13.6419354136007,1,1,1,1
