"ID","実工数","予測工数","予測フラグ(残差平方平均)","予測フラグ(残差分散)","予測フラグ(相対残差分散)","予測フラグ(残差変動係数)"
1,59.5,42.9394518011592,0,0,0,0
2,85,54.0744335012413,0,0,0,0
3,31.5,29.7251244804266,0,0,0,0
4,58.9,44.7511753681904,0,0,1,0
5,58.9,52.0340713271033,1,1,0,1
6,67.3,35.3293745864497,0,0,0,0
7,8.2,6.57966180877069,1,1,1,1
8,13.9,14.3939862473814,1,1,1,1
9,36,56.1412864513488,1,1,0,1
10,89.5,84.8040423336014,1,1,0,1
11,39.5,54.9233306990443,1,1,1,1
12,27.5,43.5348680327572,1,1,1,1
13,103.5,80.2636244809724,1,1,0,1
14,212,376.631856315331,0,0,0,0
15,48,48.5652400426042,0,0,1,0
16,18,62.6228938763519,0,0,0,0
17,43.8,61.7851402094763,0,0,0,0
18,7.1,7.07508468035114,1,1,1,1
19,20.6,24.5124388108005,1,1,0,1
20,32.7,69.4296750062027,0,0,0,0
21,9,9.95709146091824,1,1,1,1
22,7.5,4.46687965041415,1,1,1,1
23,37.2,32.0562017623958,1,1,1,1
24,59.1,50.6435859452879,1,1,1,1
25,54,59.5119689562719,0,0,0,0
26,37.1,52.8444407604539,1,1,0,1
27,157,185.83235843601,0,0,0,0
28,39,101.652689888306,1,1,0,0
29,170,213.97108371849,0,0,0,0
30,37,25.3041444487022,1,1,1,1
31,340,137.349100646109,0,0,0,0
32,1586,338.048328252489,0,0,0,0
33,29,13.1700258857814,1,1,1,1
34,36.9,15.5674556821091,1,1,0,1
35,37,31.6024394046001,1,1,1,1
36,23,14.8016999868789,1,1,1,1
37,52,41.1812814631303,0,0,0,0
38,22,26.6364774794847,0,0,1,0
39,42.3,49.6210101609463,0,0,1,0
40,34.3,29.8330217202293,1,1,1,1
41,55.7,49.2055825437435,0,0,1,0
42,39,48.9906347580745,0,0,1,0
43,120,57.1246247043457,1,1,1,0
44,6,20.7010768199992,0,0,0,1
45,5.6,14.8227662881427,0,0,1,0
46,20.1,24.9544505111561,1,1,1,1
47,31.5,46.5131071880071,0,0,0,0
48,50.1,34.2562361196778,1,1,1,1
