"ID","é¿çHêî","ó\ë™çHêî","ó\ë™ÉtÉâÉO(écç∑ïΩï˚ïΩãœ)","ó\ë™ÉtÉâÉO(écç∑ï™éU)","ó\ë™ÉtÉâÉO(ëäëŒécç∑ï™éU)","ó\ë™ÉtÉâÉO(écç∑ïœìÆåWêî)"
1,117.6,81.5936808114576,0,0,0,0
2,117.6,77.3967563660861,0,0,0,0
3,31.2,29.9454854467065,0,0,0,0
4,36,31.156342567456,0,0,0,0
5,25.2,38.5716798749722,0,0,0,0
6,8.4,12.0628041939435,0,0,0,0
7,10.8,17.0021005334386,0,0,0,0
8,352.8,471.528591016481,0,0,0,0
9,72,181.680383592754,0,0,0,0
10,72,47.7377715531324,1,1,1,1
11,24,16.6306403012579,1,1,1,1
12,360,201.717348023673,1,1,1,1
13,36,29.3390906116196,1,1,1,1
14,215,187.73432521234,1,1,1,1
15,48,51.0569772232143,1,1,1,1
16,360,424.438874194607,1,1,1,1
17,324,310.284449085469,1,1,1,1
18,60,108.631821533557,1,0,1,1
19,48,37.528794318114,1,1,1,1
20,60,108.290273237114,1,1,1,1
21,60,80.561283857545,0,0,0,0
22,300,216.744483365721,0,0,0,0
23,120,68.8601739656364,0,0,0,0
24,90,91.1503543124603,0,0,0,0
25,210,121.023515722672,0,0,0,0
26,48,39.1884893233287,0,0,0,0
27,70,81.3370880620891,0,0,0,0
28,239,214.042553872972,0,0,0,0
29,82,82.6013189606757,0,0,0,0
30,62,68.8920663612783,0,0,0,0
31,170,149.813820388135,0,0,0,0
32,192,160.626053241679,0,0,0,0
33,18,17.2163504910071,0,0,0,0
34,50,42.5115439770099,0,0,0,0
35,60,55.6516826211014,0,0,0,0
36,42,40.5462138956515,0,0,0,0
37,60,74.9558042853854,0,0,0,0
38,444,526.790620167165,0,0,0,0
39,42,49.3887458925241,0,0,0,0
40,114,142.393356082644,0,0,0,0
41,1248,1891.50985823558,0,0,0,0
42,2400,2059.4804400071,0,0,0,0
43,1368,813.837076842404,1,1,0,0
44,973,1129.54712312508,0,0,0,0
45,400,533.057384008227,0,0,0,0
46,2400,1334.31714579359,0,0,0,1
47,420,796.864700121446,0,0,0,0
48,252,275.930243067591,0,0,0,0
49,107,127.512021898573,0,0,0,0
50,571.4,575.466437555756,0,0,0,0
51,98.8,106.871332659544,0,0,0,0
52,155,167.838146608053,0,0,0,0
53,750,946.733274356366,0,0,0,0
54,2120,952.451222884329,1,1,0,0
55,370,260.867657189014,0,0,0,0
56,1181,855.02664542777,0,0,0,0
57,278,332.989340482724,0,0,0,0
58,8.4,6.38927574923662,0,0,0,0
59,4560,6155.95171886652,1,1,0,0
60,720,1018.10821459035,0,0,0,0
61,458,349.344252095841,0,0,0,0
62,2460,1115.07360424074,0,0,0,0
63,162,250.040421919922,0,0,0,0
64,150,51.9573879391383,0,0,0,0
65,636,531.364312093183,0,0,0,0
66,882,251.695243775807,0,0,0,0
67,444,2364.91230865373,0,0,0,0
68,192,590.441573750556,1,1,1,1
69,576,492.85664786767,0,0,0,0
70,432,543.716634923119,0,0,0,0
71,72,150.123726863247,0,0,0,0
72,300,366.431322547689,0,0,0,0
73,300,318.459529401549,0,0,0,0
74,240,68.9914419926387,1,1,1,1
75,600,379.123416730606,0,0,0,0
76,756,541.017434847676,0,0,0,0
77,1200,1126.20435892553,0,0,0,0
78,97,664.559734356605,0,0,0,0
79,409,425.906308500242,0,0,0,0
80,703,608.773772158377,0,0,0,0
81,1350,460.328711140867,0,0,0,0
82,480,699.024851142731,0,0,0,0
83,599,641.987391178024,0,0,0,0
84,430,380.088738117875,0,0,0,0
85,4178.2,4734.1786055329,0,0,0,0
86,1772.5,2015.58741127725,0,0,0,0
87,1645.9,2193.54276422265,0,0,0,0
88,1924.5,1528.72756266302,0,0,0,0
89,648,46.4765663085724,1,1,1,1
90,8211,6055.68734409435,0,0,0,0
91,480,110.28319713851,0,0,0,0
92,12,140.377579227047,0,0,0,0
93,38,44.9177698992295,0,0,0,0
